VehicleID,FuelConsumption,Route,DistanceKM,EngineHours
TRK-100,38.6,Route-West,1594,31.8
TRK-101,31.7,Route-South,4897,86.2
TRK-102,,Route-West,3667,87.0
TRK-103,27.4,Route-South,5299,97.2
TRK-104,26.1,,2527,52.0
TRK-105,42.5,Corridor-Express,4798,85.8
TRK-106,40.9,Route-North,3957,66.6
,32.2,Corridor-Express,1832,37.2
TRK-108,35.9,Corridor-Express,2147,45.7
TRK-109,27.3,Route-North,5256,106.2
TRK-110,37.0,Corridor-Express,4638,93.4
TRK-111,,Route-North,3319,56.4
TRK-112,31.8,Route-South,1557,28.5
TRK-113,33.2,Route-West,5236,108.8
TRK-114,34.4,Route-East,2468,43.5
TRK-115,,Route-North,2899,65.9
TRK-116,37.4,Route-West,4479,96.1
TRK-117,31.2,Route-West,3474,72.7
TRK-118,42.4,,1651,32.3
TRK-119,27.5,Route-East,2685,51.0
TRK-120,21.6,Corridor-Express,5342,103.7
,38.3,Route-North,2782,46.9
TRK-122,29.3,Route-South,3221,54.3
TRK-123,34.5,Route-West,4421,74.2
TRK-124,,Route-East,3783,83.0
TRK-125,34.4,Corridor-Express,2478,48.2
TRK-126,33.3,Route-West,4655,95.5
TRK-127,30.7,Route-North,2318,39.5
