LearnerID,StudyHours,QuizScore,AssignmentScore,AttendanceRate,InteractionCount,CourseCompletion
STU-1001,16.5,43.4,55.2,85.5,47,1
STU-1002,11.7,49.4,57.4,89.6,35,1
STU-1003,11.1,45.5,53.6,80.6,46,1
STU-1004,11.1,33.8,43.3,71.2,35,0
STU-1005,27.6,60.6,56.1,93.2,70,1
STU-1006,19.0,52.0,43.2,72.0,56,1
STU-1007,9.6,41.7,58.8,76.2,41,0
STU-1008,16.9,68.1,65.6,87.1,50,1
STU-1009,14.5,64.8,65.7,93.4,48,1
STU-1010,3.3,48.6,56.8,94.5,33,1
STU-1011,6.7,31.4,47.3,77.0,26,0
STU-1012,15.0,47.9,71.9,93.5,30,1
STU-1013,26.2,50.6,56.8,81.0,69,1
STU-1014,11.1,46.3,48.5,82.5,38,1
STU-1015,9.2,18.8,36.1,78.7,30,0
STU-1016,13.5,47.0,62.4,92.8,40,1
STU-1017,8.9,31.6,34.3,62.8,25,0
STU-1018,10.7,28.9,46.1,75.9,34,0
STU-1019,12.6,56.4,47.0,93.5,54,1
STU-1020,6.5,32.2,45.2,87.1,24,0
STU-1021,19.5,60.4,67.9,97.0,49,1
STU-1022,5.8,64.7,72.0,91.5,17,1
STU-1023,5.4,24.1,34.8,78.9,27,0
STU-1024,14.1,49.5,47.8,91.5,49,1
STU-1025,18.7,52.3,56.8,92.1,39,1
STU-1026,13.9,37.8,37.2,71.7,39,0
STU-1027,11.9,49.6,51.6,79.1,36,1
STU-1028,10.6,49.6,51.1,75.3,40,1
STU-1029,9.7,53.7,52.0,94.5,40,1
STU-1030,21.8,55.0,66.4,97.4,61,1
STU-1031,15.1,73.5,69.8,97.2,36,1
STU-1032,10.1,25.1,44.6,73.0,32,0
STU-1033,8.4,35.3,37.3,87.9,33,0
STU-1034,17.5,57.5,56.5,96.7,56,1
STU-1035,21.5,53.3,57.0,77.8,58,1
STU-1036,20.5,60.6,57.2,90.6,64,1
STU-1037,7.6,49.1,48.8,72.2,28,0
STU-1038,10.6,44.0,52.1,86.0,47,1
STU-1039,9.6,44.5,52.9,84.9,35,1
STU-1040,11.4,39.8,44.9,83.0,37,1
STU-1041,19.4,59.5,61.6,88.4,61,1
STU-1042,25.0,55.1,51.4,81.6,70,1
STU-1043,15.4,48.7,59.8,89.6,47,1
STU-1044,8.6,47.7,53.6,86.9,25,1
STU-1045,12.4,44.8,44.4,60.3,38,0
STU-1046,27.4,43.1,66.2,83.4,72,1
STU-1047,13.3,52.8,51.8,91.6,39,1
STU-1048,10.7,44.4,61.9,89.6,43,1
STU-1049,11.2,55.0,43.3,90.6,41,1
STU-1050,15.4,49.2,43.5,89.6,48,1
STU-1051,7.7,49.7,45.1,79.1,30,1
STU-1052,9.4,40.0,44.5,90.1,32,1
STU-1053,20.4,35.4,47.6,82.0,51,1
STU-1054,15.2,59.3,62.6,89.3,48,1
STU-1055,13.4,41.3,49.5,86.7,40,1
STU-1056,20.9,45.1,53.9,92.2,61,1
STU-1057,8.3,40.4,51.3,79.9,23,0
STU-1058,10.5,42.7,56.2,85.3,32,1
STU-1059,14.9,53.4,46.7,79.8,37,1
STU-1060,14.6,60.0,61.3,95.7,44,1
STU-1061,5.0,44.1,55.2,95.9,31,1
STU-1062,9.9,32.5,45.1,74.1,45,0
STU-1063,11.6,41.9,40.8,70.0,25,0
STU-1064,15.8,46.4,48.3,73.3,42,1
STU-1065,14.6,42.5,41.9,58.4,41,0
STU-1066,12.1,42.0,49.1,92.3,40,1
STU-1067,3.3,23.6,28.0,58.7,13,0
STU-1068,12.5,45.5,48.6,72.2,31,0
STU-1069,13.1,56.6,56.8,83.8,37,1
STU-1070,39.5,77.4,68.1,75.4,76,1
STU-1071,11.3,44.0,43.8,80.2,41,1
STU-1072,14.9,35.3,36.8,60.8,32,0
STU-1073,22.7,61.9,61.0,89.8,52,1
STU-1074,18.8,42.3,54.2,80.6,51,1
STU-1075,25.5,49.4,45.7,76.0,63,1
STU-1076,5.1,56.3,63.8,97.9,36,1
STU-1077,6.8,40.3,48.2,75.8,33,0
STU-1078,9.0,45.1,66.4,97.2,36,1
STU-1079,4.5,40.1,39.3,72.4,21,0
STU-1080,13.2,51.2,45.9,69.2,33,1
STU-1081,7.2,40.8,47.3,93.0,31,1
STU-1082,27.2,53.8,43.1,75.0,57,1
STU-1083,7.9,39.0,61.1,88.7,22,0
STU-1084,10.5,55.1,52.4,92.3,37,1
STU-1085,19.4,63.8,59.0,91.5,55,1
STU-1086,5.8,48.0,59.1,77.7,24,0
STU-1087,4.3,46.6,42.7,85.6,26,0
STU-1088,14.0,35.6,52.7,86.7,51,1
STU-1089,14.6,40.9,33.0,60.2,41,0
STU-1090,19.1,44.4,59.3,84.5,60,1
STU-1091,16.8,49.3,43.7,91.6,56,1
STU-1092,14.9,53.5,48.8,93.0,49,1
STU-1093,8.4,51.4,54.2,90.7,38,1
STU-1094,14.4,41.3,56.3,85.1,34,1
STU-1095,14.9,32.9,48.3,91.6,50,1
STU-1096,8.2,41.4,46.5,79.5,36,0
STU-1097,31.1,90.8,87.3,96.5,75,1
STU-1098,16.3,51.4,70.7,91.7,43,1
STU-1099,6.9,39.6,52.1,80.9,25,0
STU-1100,19.1,66.0,57.8,81.5,51,1
